,Unnamed: 0,Long,Lat,Rain,Tmax,Tmin,Dia
64374,18075,-103.954,21.0403,0.0,21.383007901932,9.95874228394091,2
64375,18076,-103.826,21.0403,0.0,21.035372134320085,9.679270392331343,2
64376,18077,-103.699,21.0403,0.0,19.453970211065954,8.097868469077211,2
64377,18078,-103.571,21.0403,0.0,19.822055141478554,7.988806267473475,2
64378,18079,-103.444,21.0403,0.0,21.23986376232709,9.495227927125043,2
64379,18080,-103.316,21.0403,0.0,20.694552754308425,9.40661488832201,2
64380,18081,-103.189,21.0403,0.0,19.27674413345989,8.670445027496811,2
64381,18082,-103.061,21.0403,0.0,18.233836830624192,7.9683571046727755,2
64382,18083,-102.934,21.0403,0.0,18.690534799839824,8.418238686288174,2
64383,18084,-102.806,21.0403,0.0,19.106334443454056,9.052162733109878,2
64384,18085,-102.679,21.0403,0.0,18.43832845863119,8.500035337490978,2
64385,18086,-102.551,21.0403,0.0,18.376980970229088,8.643179477095876,2
64386,18087,-102.424,21.0403,0.0,18.35653180742839,8.799956391901244,2
64387,18088,-102.296,21.0403,0.0,18.08387630341905,8.595464763894244,2
64388,18089,-102.169,21.0403,0.0,17.981630489415554,8.370523973086543,2
64389,18090,-102.041,21.0403,0.011000000000000001,18.30200070662652,7.545741073458309,2
64390,18091,-101.914,21.0403,0.042,18.915475590647517,8.17966512028001,2
64391,18092,-101.786,21.0403,0.032,19.297193296260584,8.247828996282342,2
64392,18093,-101.658,21.0403,0.004,19.304009683860823,8.200114283080707,2
64393,18094,-101.531,21.0403,0.0,18.922291978247767,7.941091554271842,2
64394,18095,-101.403,21.0403,0.023,17.86575190021159,7.668436050262509,2
64395,18096,-101.276,21.0403,0.031,16.591087418967952,7.368514995852243,2
64396,18097,-101.148,21.0403,0.214,16.107123899351386,6.652794297827741,2
64397,18098,-101.021,21.0403,1.045,17.231827853389888,7.157206980245007,2
64398,18099,-100.893,21.0403,1.202,18.67008563703912,7.7843146394664755,2
64399,18100,-100.766,21.0403,1.774,18.90184281544705,7.695701600663441,2
64400,18101,-100.638,21.0403,2.14,18.308817094226754,7.334433057851075,2
64401,18102,-100.511,21.0403,3.173,17.729424148206924,7.129941429844076,2
64402,18103,-100.383,21.0403,2.2230000000000003,17.156847589787322,7.034512003440808,2
64403,18104,-100.256,21.0403,0.885,16.80921182217542,7.164023367845242,2
64404,18105,-100.128,21.0403,3.0810000000000004,17.129582039386385,7.4980263602566755,2
64405,18106,-100.001,21.0403,5.86,17.99526326461602,7.879744065869743,2
64627,18328,-103.954,21.1593,0.0,20.708185529508885,9.154408547113377,2
64628,18329,-103.826,21.1593,0.0,19.460786598666196,8.472769787090042,2
64629,18330,-103.699,21.1593,0.0,18.561023435435384,7.641170499861577,2
64630,18331,-103.571,21.1593,0.0,19.18131470705662,7.695701600663441,2
64631,18332,-103.444,21.1593,0.0,20.306018661095127,9.263470748717113,2
64632,18333,-103.316,21.1593,0.0,20.510510289102125,9.277103523917576,2
64633,18334,-103.189,21.1593,0.0,20.033363157085788,9.256654361116876,2
64634,18335,-103.061,21.1593,0.0,18.322449869427214,8.193297895480478,2
64635,18336,-102.934,21.1593,0.0,18.01571242741672,7.375331383452475,2
64636,18337,-102.806,21.1593,0.0,19.229029420258254,8.62954670189541,2
64637,18338,-102.679,21.1593,0.0,19.222213032658022,8.861303880303344,2
64638,18339,-102.551,21.1593,0.0,19.174498319456386,8.95673330670661,2
64639,18340,-102.424,21.1593,0.0,19.113150831054288,8.847671105102876,2
64640,18341,-102.296,21.1593,0.0,18.90865920304729,8.77269084150031,2
64641,18342,-102.169,21.1593,0.0,18.67008563703912,8.356891197886076,2
64642,18343,-102.041,21.1593,0.001,18.72461673784099,7.907009616270676,2
