,Unnamed: 0,Long,Lat,Rain,Tmax,Tmin,Dia
17963,17963,-118.236,21.0403,0.113,12.835257851239383,12.174068254016747,1
17964,17964,-118.109,21.0403,0.102,12.882972564441015,12.235415742418848,1
17965,17965,-117.981,21.0403,0.12300000000000001,12.930687277642647,12.303579618421182,1
17966,17966,-117.854,21.0403,0.055,12.971585603244051,12.371743494423516,1
17967,17967,-117.726,21.0403,0.071,12.998851153644981,12.426274595225381,1
17968,17968,-117.599,21.0403,0.068,13.005667541245215,12.473989308427017,1
17969,17969,-117.471,21.0403,0.053,13.026116704045913,12.535336796829116,1
17970,17970,-117.344,21.0403,0.039,13.053382254446847,12.603500672831444,1
17971,17971,-117.216,21.0403,0.027999999999999997,13.094280580048249,12.637582610832615,1
17972,17972,-117.089,21.0403,0.013999999999999999,13.141995293249884,12.671664548833782,1
17973,17973,-116.961,21.0403,0.0,13.210159169252215,12.719379262035416,1
17974,17974,-116.834,21.0403,0.0,13.278323045254547,12.780726750437514,1
17975,17975,-116.706,21.0403,0.0,13.326037758456184,12.848890626439848,1
17976,17976,-116.579,21.0403,0.0,13.36011969645735,12.896605339641482,1
17977,17977,-116.451,21.0403,0.0,13.387385246858285,12.937503665242884,1
17978,17978,-116.324,21.0403,0.0,13.414650797259213,12.978401990844278,1
17979,17979,-116.196,21.0403,0.0,13.448732735260382,13.005667541245215,1
17980,17980,-116.069,21.0403,0.0,13.469181898061084,13.026116704045913,1
17981,17981,-115.941,21.0403,0.0,13.489631060861782,13.046565866846617,1
17982,17982,-115.813,21.0403,0.0,13.503263836062247,13.067015029647315,1
17983,17983,-115.686,21.0403,0.0,13.523712998862948,13.087464192448016,1
17984,17984,-115.558,21.0403,0.0,13.544162161663651,13.114729742848947,1
17985,17985,-115.431,21.0403,0.0,13.564611324464348,13.135178905649648,1
17986,17986,-115.303,21.0403,0.0,13.585060487265048,13.135178905649648,1
17987,17987,-115.176,21.0403,0.0,13.612326037665982,13.155628068450351,1
17988,17988,-115.048,21.0403,0.0,13.653224363267384,13.189710006451516,1
17989,17989,-114.921,21.0403,0.0,13.694122688868784,13.23742471965315,1
17990,17990,-114.793,21.0403,0.0,13.741837402070415,13.291955820455014,1
17991,17991,-114.666,21.0403,0.0,13.78955211527205,13.33967053365665,1
17992,17992,-114.538,21.0403,0.0,13.830450440873447,13.373752471657815,1
17993,17993,-114.411,21.0403,0.0,13.884981541675314,13.428283572459682,1
17994,17994,-114.283,21.0403,0.0,13.946329030077415,13.482814673261547,1
17995,17995,-114.156,21.0403,0.0,14.007676518479517,13.544162161663651,1
17996,17996,-114.028,21.0403,0.0,14.082656782082086,13.612326037665982,1
17997,17997,-113.901,21.0403,0.0,14.164453433284885,13.687306301268547,1
17998,17998,-113.773,21.0403,0.0,14.253066472087914,13.762286564871117,1
17999,17999,-113.646,21.0403,0.0,14.355312286091412,13.837266828473684,1
18000,18000,-113.518,21.0403,0.0,14.457558100094914,13.919063479676485,1
18001,18001,-113.391,21.0403,0.0,14.559803914098413,13.994043743279052,1
18002,18002,-113.263,21.0403,0.0,14.66886611570215,14.062207619281384,1
18003,18003,-113.135,21.0403,0.0,14.771111929705652,14.137187882883945,1
18004,18004,-113.008,21.0403,0.0,14.880174131309385,14.225800921686986,1
18005,18005,-112.88,21.0403,0.0,14.97560355771265,14.307597572889776,1
18006,18006,-112.753,21.0403,0.0,15.050583821315215,14.389394224092582,1
18007,18007,-112.625,21.0403,0.0,15.111931309717322,14.471190875295385,1
18008,18008,-112.498,21.0403,0.0,15.152829635318716,14.539354751297715,1
18009,18009,-112.37,21.0403,0.0,15.166462410519186,14.600702239699814,1
18010,18010,-112.243,21.0403,0.0,15.186911573319886,14.641600565301216,1
18011,18011,-112.115,21.0403,0.0,15.220993511321053,14.675682503302387,1
18012,18012,-111.988,21.0403,0.0,15.261891836922452,14.709764441303554,1
18013,18013,-111.86,21.0403,0.0,15.316422937724314,14.743846379304712,1
18014,18014,-111.733,21.0403,0.0,15.364137650925946,14.777928317305884,1
18015,18015,-111.605,21.0403,0.0,15.432301526928285,14.805193867706814,1
18016,18016,-111.478,21.0403,0.0,15.48683262773015,14.846092193308218,1
18017,18017,-111.35,21.0403,0.0,15.500465402930615,14.85290858090845,1
18018,18018,-111.223,21.0403,0.0,15.493649015330384,14.832459418107753,1
18019,18019,-111.095,21.0403,0.0,15.534547340931786,14.832459418107753,1
18020,18020,-110.968,21.0403,0.0,15.561812891332718,14.85290858090845,1
18021,18021,-110.84,21.0403,0.0,15.54136372853202,14.846092193308218,1
18022,18022,-110.713,21.0403,0.0,15.500465402930615,14.846092193308218,1
18023,18023,-110.585,21.0403,0.0,15.473199852529685,14.859724968508685,1
18024,18024,-110.458,21.0403,0.0,15.466383464929452,14.893806906509852,1
18025,18025,-110.33,21.0403,0.0,15.480016240129919,14.927888844511015,1
18026,18026,-110.202,21.0403,0.0,15.459567077329217,14.968787170112414,1
18027,18027,-110.075,21.0403,0.0,15.411852364127586,14.989236332913116,1
18028,18028,-109.947,21.0403,0.0,15.411852364127586,14.989236332913116,1
18029,18029,-109.82,21.0403,0.0,15.411852364127586,14.961970782512186,1
18030,18030,-109.692,21.0403,0.0,15.41866875172782,14.934705232111249,1
18031,18031,-109.565,21.0403,0.0,15.425485139328053,14.91425606931055,1
18032,18032,-109.437,21.0403,0.0,15.439117914528515,14.886990518909615,1
18033,18033,-109.31,21.0403,0.0,15.500465402930615,14.90743968171032,1
18034,18034,-109.182,21.0403,0.0,15.589078441733651,14.955154394911952,1
