,Unnamed: 0,Long,Lat,Rain,Tmax,Tmin,Dia,uc
110673,18075,-103.954,21.0403,0.0,21.894236971949486,10.020089772343011,3,5.957163372146248
110674,18076,-103.826,21.0403,0.0,21.587499529938988,9.829230919536476,3,5.793749764969494
110675,18077,-103.699,21.0403,0.0,20.006097606684857,8.206930670680942,3,5.003048803342429
110676,18078,-103.571,21.0403,0.0,20.36736614949723,8.022888205474642,3,5.183683074748615
110677,18079,-103.444,21.0403,0.0,21.805623933146453,9.474778764324343,3,5.902811966573227
110678,18080,-103.316,21.0403,0.0,21.267129312728024,9.36571656272061,3,5.633564656364012
110679,18081,-103.189,21.0403,0.0,19.81523875387832,8.745425291099378,3,4.907619376939159
110680,18082,-103.061,21.0403,0.0,18.75869867584216,8.370523973086543,3,4.379349337921081
110681,18083,-102.934,21.0403,0.0,19.215396645057787,8.418238686288174,3,4.607698322528893
110682,18084,-102.806,21.0403,0.0,19.631196288672022,9.106693833911745,3,4.815598144336011
110683,18085,-102.679,21.0403,0.0,18.95637391624892,8.356891197886076,3,4.478186958124461
110684,18086,-102.551,21.0403,0.0,18.895026427846826,8.390973135887242,3,4.447513213923413
110685,18087,-102.424,21.0403,0.0,18.874577265046124,8.275094546683277,3,4.437288632523062
110686,18088,-102.296,21.0403,0.0,18.601921761036788,8.111501244277676,3,4.300960880518394
110687,18089,-102.169,21.0403,0.0,18.46559400903212,7.886560453469976,3,4.23279700451606
110688,18090,-102.041,21.0403,0.0,18.72461673784099,7.525291910657607,3,4.362308368920495
110689,18091,-101.914,21.0403,0.0,19.29037690866036,7.538924685858076,3,4.64518845433018
110690,18092,-101.786,21.0403,0.0,19.62437990107179,7.559373848658775,3,4.812189950535895
110691,18093,-101.658,21.0403,0.0,19.590297963070626,7.518475523057375,3,4.795148981535313
110692,18094,-101.531,21.0403,0.0,19.167681931856155,7.552557461058543,3,4.583840965928077
110693,18095,-101.403,21.0403,0.0,18.077059915818825,7.579823011459474,3,4.038529957909413
110694,18096,-101.276,21.0403,0.0,16.80921182217542,7.388964158652942,3,3.4046059110877103
110695,18097,-101.148,21.0403,0.01,16.475208829763986,6.26426020461444,3,3.237604414881993
110696,18098,-101.021,21.0403,0.021,17.736240535807152,7.239003631447807,3,3.868120267903576
110697,18099,-100.893,21.0403,0.013000000000000001,18.922291978247767,7.886560453469976,3,4.461145989123883
110698,18100,-100.766,21.0403,0.035,19.01772140465102,7.95472432947231,3,4.50886070232551
110699,18101,-100.638,21.0403,0.017,18.38379735782932,7.777498251866242,3,4.19189867891466
110700,18102,-100.511,21.0403,0.122,17.824853574610188,7.654803275062043,3,3.912426787305094
110701,18103,-100.383,21.0403,0.02,17.32044089219292,7.573006623859242,3,3.66022044609646
110702,18104,-100.256,21.0403,0.7879999999999999,17.061418163384054,7.8729276782695115,3,3.5307090816920272
110703,18105,-100.128,21.0403,2.862,17.27954256659152,8.52730088789191,3,3.63977128329576
110704,18106,-100.001,21.0403,9.798,18.077059915818825,9.086244671111043,3,4.038529957909413
110926,18328,-103.954,21.1593,0.0,21.16488349872452,9.14077577191291,3,5.5824417493622605
110927,18329,-103.826,21.1593,0.0,19.958382893483225,8.397789523487477,3,4.979191446741613
110928,18330,-103.699,21.1593,0.0,19.072252505452887,7.859294903069043,3,4.536126252726444
110929,18331,-103.571,21.1593,0.0,19.678911001873654,7.654803275062043,3,4.839455500936827
110930,18332,-103.444,21.1593,0.0,20.817247731112626,9.120326609112213,3,5.408623865556313
110931,18333,-103.316,21.1593,0.0,21.042188521920323,9.127142996712443,3,5.521094260960162
110932,18334,-103.189,21.1593,0.0,20.571857777504228,9.318001849518977,3,5.285928888752114
110933,18335,-103.061,21.1593,0.0,18.860944489845657,8.62954670189541,3,4.430472244922829
110934,18336,-102.934,21.1593,0.0,18.50649233463352,7.654803275062043,3,4.25324616731676
110935,18337,-102.806,21.1593,0.0,19.72662571507529,8.779507229100544,3,4.863312857537645
110936,18338,-102.679,21.1593,0.0,19.740258490275764,8.534117275492143,3,4.870129245137882
110937,18339,-102.551,21.1593,0.0,19.72662571507529,8.500035337490978,3,4.863312857537645
110938,18340,-102.424,21.1593,0.0,19.672094614273426,8.377340360686775,3,4.836047307136713
110939,18341,-102.296,21.1593,0.0,19.453970211065954,8.425055073888409,3,4.726985105532977
110940,18342,-102.169,21.1593,0.0,19.167681931856155,8.17966512028001,3,4.583840965928077
110941,18343,-102.041,21.1593,0.0,19.174498319456386,7.688885213063209,3,4.587249159728193
110942,18344,-101.914,21.1593,0.0,19.154049156655688,7.504842747856909,3,4.577024578327844
110943,18345,-101.786,21.1593,0.0,18.942741141048455,7.9683571046727755,3,4.471370570524227
110944,18346,-101.658,21.1593,0.0,18.31563348182699,9.32481823711921,3,4.1578167409134945
110945,18347,-101.531,21.1593,0.0,17.42268670619642,7.532108298257843,3,3.7113433530982096
110946,18348,-101.403,21.1593,0.0,16.631985744569352,7.204921693446642,3,3.315992872284676
110947,18349,-101.276,21.1593,0.01,16.13438944975232,6.700509011029375,3,3.0671947248761597
110948,18350,-101.148,21.1593,0.001,16.897824860978453,6.8232039878335735,3,3.4489124304892265
110949,18351,-101.021,21.1593,0.005,18.397430133029786,7.2253708562473395,3,4.198715066514893
110950,18352,-100.893,21.1593,0.017,19.126783606254754,8.022888205474642,3,4.563391803127377
110951,18353,-100.766,21.1593,0.026000000000000002,19.01772140465102,7.641170499861577,3,4.50886070232551
110952,18354,-100.638,21.1593,0.025,18.57465621063585,7.70933437586391,3,4.2873281053179255
