,Unnamed: 0,Long,Lat,Rain,Tmax,Tmin,Dia,uc
64374,18075,-103.954,21.0403,0.0,21.383007901932,9.95874228394091,2,5.691503950966
64375,18076,-103.826,21.0403,0.0,21.035372134320085,9.679270392331343,2,5.517686067160042
64376,18077,-103.699,21.0403,0.0,19.453970211065954,8.097868469077211,2,4.726985105532977
64377,18078,-103.571,21.0403,0.0,19.822055141478554,7.988806267473475,2,4.911027570739277
64378,18079,-103.444,21.0403,0.0,21.23986376232709,9.495227927125043,2,5.619931881163545
64379,18080,-103.316,21.0403,0.0,20.694552754308425,9.40661488832201,2,5.347276377154213
64380,18081,-103.189,21.0403,0.0,19.27674413345989,8.670445027496811,2,4.638372066729945
64381,18082,-103.061,21.0403,0.0,18.233836830624192,7.9683571046727755,2,4.116918415312096
64382,18083,-102.934,21.0403,0.0,18.690534799839824,8.418238686288174,2,4.345267399919912
64383,18084,-102.806,21.0403,0.0,19.106334443454056,9.052162733109878,2,4.553167221727028
64384,18085,-102.679,21.0403,0.0,18.43832845863119,8.500035337490978,2,4.219164229315595
64385,18086,-102.551,21.0403,0.0,18.376980970229088,8.643179477095876,2,4.188490485114544
64386,18087,-102.424,21.0403,0.0,18.35653180742839,8.799956391901244,2,4.178265903714195
64387,18088,-102.296,21.0403,0.0,18.08387630341905,8.595464763894244,2,4.041938151709525
64388,18089,-102.169,21.0403,0.0,17.981630489415554,8.370523973086543,2,3.990815244707777
64389,18090,-102.041,21.0403,0.011000000000000001,18.30200070662652,7.545741073458309,2,4.151000353313259
64390,18091,-101.914,21.0403,0.042,18.915475590647517,8.17966512028001,2,4.457737795323759
64391,18092,-101.786,21.0403,0.032,19.297193296260584,8.247828996282342,2,4.648596648130292
64392,18093,-101.658,21.0403,0.004,19.304009683860823,8.200114283080707,2,4.652004841930411
64393,18094,-101.531,21.0403,0.0,18.922291978247767,7.941091554271842,2,4.461145989123883
64394,18095,-101.403,21.0403,0.023,17.86575190021159,7.668436050262509,2,3.932875950105794
64395,18096,-101.276,21.0403,0.031,16.591087418967952,7.368514995852243,2,3.295543709483976
64396,18097,-101.148,21.0403,0.214,16.107123899351386,6.652794297827741,2,3.053561949675693
